record_id,published_date,source_name,source_url,record_title,plain_summary,label_relevant_to_observed_portfolio,label_event_family,label_category_proxy,label_confidence,reviewer_notes
BL-001,2022-04-08,Council of the European Union,https://www.consilium.europa.eu/en/press/press-releases/2022/04/08/eu-adopts-fifth-round-of-sanctions-against-russia-over-its-military-aggression-against-ukraine/,EU adopts fifth round of sanctions against Russia,The notice describes restrictions affecting energy imports transport and selected industrial goods.,yes,trade_policy,Petroleum fuel electricity and other energy sources,high,The official notice describes sanctions affecting energy imports transport and selected industrial goods.
BL-002,2023-06-23,Council of the European Union,https://www.consilium.europa.eu/en/press/press-releases/2023/06/23/russia-s-war-of-aggression-against-ukraine-eu-adopts-11th-package-of-economic-and-individual-sanctions/,EU adopts eleventh package of sanctions against Russia,The notice describes measures on trade transit ports transport and dual-use goods.,yes,trade_policy,cross_category,high,The official notice concerns trade transit ports transport and dual-use goods across several categories.
BL-003,2023-09-15,European Commission,https://policy.trade.ec.europa.eu/news/2023-update-eu-control-list-dual-use-items-2023-09-15_en,2023 update of the EU control list of dual-use items,The Commission updated the EU control list under the dual-use regulation.,yes,trade_policy,Office and computing machinery equipment and supplies,medium,The dual-use control list can affect technology and equipment procurement but the notice is broad.
BL-004,2023-10-26,European Commission,https://policy.trade.ec.europa.eu/news/eu-enables-coordinated-export-controls-compiling-national-lists-2023-10-26_en,EU enables coordinated export controls by compiling national lists,The Commission published a compilation of Member States national export control lists.,yes,trade_policy,Office and computing machinery equipment and supplies,medium,The export-control compilation provides context for controlled technology and equipment categories.
BL-005,2023-10-30,Panama Canal Authority,https://pancanal.com/wp-content/uploads/2023/01/ADV48-2023-Reduction-in-Transits-Due-to-the-Ongoing-Deficit-in-Precipitation-in-the-Canal-Watershed.pdf,Reduction in transits due to precipitation deficit in the Canal watershed,The advisory states that drought conditions reduced planned transit capacity.,yes,logistics_transport,cross_category,high,The advisory reports lower transit capacity which can affect several imported physical-goods categories.
BL-006,2023-12-19,International Maritime Organization,https://www.imo.org/en/mediacentre/secretarygeneral/pages/red-sea-statement-19-december-2023.aspx,Statement on attacks against international shipping in the Red Sea area,The statement reports attacks on shipping and rerouting by commercial operators.,yes,conflict_security,cross_category,high,The official statement reports attacks on shipping and commercial rerouting in the Red Sea.
BL-007,2024-01-04,International Maritime Organization,https://www.imo.org/en/mediacentre/pages/whatsnew-2023.aspx,IMO Secretary-General condemns attacks against international shipping,The statement describes attacks in the Red Sea and their supply-chain implications.,yes,conflict_security,cross_category,high,The statement describes attacks on shipping and their implications for supply chains.
BL-008,2024-03-18,International Maritime Organization,https://www.imo.org/en/mediacentre/secretarygeneral/pages/recent-attacks-on-international-shipping.aspx,Recent piracy incidents and attacks on international shipping,The statement discusses attacks on shipping and longer navigation routes.,yes,conflict_security,cross_category,high,The statement links piracy and attacks to longer navigation routes for shipping.
BL-009,2024-05-24,International Maritime Organization,https://www.imo.org/en/mediacentre/pressbriefings/pages/imo-msc-resolution-red-sea.aspx,IMO condemns attacks on ships in the Red Sea,The resolution calls for assessment of continuing attacks when considering transit plans.,yes,conflict_security,cross_category,high,The resolution concerns attacks on ships and the need to assess transit plans.
BL-010,2024-06-14,International Maritime Organization,https://www.imo.org/en/mediacentre/pressbriefings/pages/merchant-vessel-tutor.aspx,Statement on the attack on merchant vessel TUTOR,The statement reports an attack on a merchant vessel in the Red Sea.,yes,conflict_security,cross_category,high,The official statement reports an attack on a merchant vessel in the Red Sea.
BL-011,2024-06-24,Council of the European Union,https://www.consilium.europa.eu/en/press/press-releases/2024/06/24/russia-s-war-of-aggression-against-ukraine-comprehensive-eu-s-14th-package-of-sanctions-cracks-down-on-circumvention-and-adopts-energy-measures/,EU adopts fourteenth package of sanctions against Russia,The notice describes measures involving energy trade maritime transport and export controls.,yes,trade_policy,Petroleum fuel electricity and other energy sources,high,The official notice combines energy-trade measures with maritime transport and export controls.
BL-012,2024-08-28,International Maritime Organization,https://www.imo.org/en/MediaCentre/SecretaryGeneral/Pages/Statement-MV-SOUNION.aspx,Statement by IMO Secretary-General on the MV Sounion,The statement describes an attack on a tanker transiting the Red Sea and associated shipping concerns.,yes,conflict_security,Petroleum fuel electricity and other energy sources,high,The official statement concerns an attack on a tanker and associated shipping concerns.
BL-013,2024-11-04,International Maritime Organization,https://www.imo.org/en/mediacentre/secretarygeneral/pages/statement-red-sea-mission.aspx,Statement on visits to the Red Sea region,The statement describes continuing attacks and effects on shipping and trade.,yes,conflict_security,cross_category,high,The official statement describes continuing attacks and their effects on shipping and trade.
BL-014,2024-11-22,International Maritime Organization,https://www.imo.org/en/mediacentre/meetingsummaries/pages/council-133rd-session.aspx,IMO Council 133rd session,The Council discussed continuing Red Sea and Gulf of Aden shipping attacks.,yes,conflict_security,cross_category,high,The Council record discusses continuing Red Sea and Gulf of Aden shipping attacks.
